,Unnamed: 0,TP,TN,FP,FN,precision,recall,TPR,FPR,F1
0,5_o_Clock_Shadow,3099,1745,1294,33670,0.7054404734805372,0.6397605284888522,0.08428295575076832,0.4257979598552155,0.6709970769730431
1,Arched_Eyebrows,7286,3275,3439,25808,0.6793473193473194,0.6898967900766972,0.2201607542152656,0.5122132856717307,0.6845814150145635
2,Attractive,16799,3539,3488,15982,0.8280672351752354,0.8259907562198839,0.5124614868368872,0.49637113988899956,0.8270276923076924
3,Bags_Under_Eyes,3592,2338,4511,29367,0.4432926076761693,0.6057335581787521,0.10898388907430444,0.6586362972696744,0.5119361505023872
4,Bald,731,629,169,38279,0.8122222222222222,0.5375,0.01873878492694181,0.21177944862155387,0.6469026548672565
5,Bangs,5334,1134,677,32663,0.8873731492264182,0.8246753246753247,0.1403795036450246,0.37382661512976256,0.8548761920025642
6,Big_Lips,2885,3271,6756,26896,0.29924281713515194,0.46864847303443796,0.09687384574057285,0.6737807918619727,0.3652592264353991
7,Big_Nose,4758,2178,4557,28315,0.5107890499194847,0.6859861591695502,0.1438635745169776,0.6766146993318486,0.5855639652944434
8,Black_Hair,7572,1887,1975,28374,0.7931287315387032,0.8005074532191564,0.21064930729427475,0.5113930605903677,0.796801010207303
9,Blond_Hair,5114,1046,819,32829,0.8619585369964605,0.8301948051948052,0.13478111904699153,0.439142091152815,0.8457785495741337
10,Blurry,1036,1307,1015,36450,0.5051194539249146,0.44216816047801966,0.027636984474203704,0.4371231696813092,0.4715521165225307
11,Brown_Hair,5770,3156,2356,28526,0.7100664533595865,0.6464261707371723,0.16824119430837414,0.4274310595065312,0.6767534600046915
12,Bushy_Eyebrows,3639,1736,2091,32342,0.6350785340314136,0.6770232558139535,0.1011367110419388,0.5463809772667886,0.6553804592525889
13,Chubby,1104,1362,1222,36120,0.47463456577815993,0.44768856447688565,0.029658284977433915,0.4729102167182663,0.4607679465776294
14,Double_Chin,913,1190,912,36793,0.5002739726027398,0.43414170233000476,0.024213652999522623,0.43387250237868696,0.464867617107943
15,Eyeglasses,2513,104,100,37091,0.9617298124760811,0.9602598395108903,0.06345318654681345,0.49019607843137253,0.9609942638623327
16,Goatee,1936,1099,608,36165,0.7610062893081762,0.6378912685337726,0.05081231463741109,0.35618043350908024,0.6940311883850152
17,Gray_Hair,1247,784,436,37341,0.7409387997623291,0.6139832594780896,0.03231574582771846,0.35737704918032787,0.6715131933225632
18,Heavy_Makeup,14105,1863,1239,22601,0.9192518248175182,0.8833291583166333,0.3842696016999946,0.3994197292069632,0.9009325498211548
19,High_Cheekbones,14189,1212,3926,20481,0.7832735302235716,0.9213038114408155,0.4092587251225844,0.7641105488516933,0.8467000835421888
20,Male,16244,283,309,22972,0.981332688938561,0.9828765051128456,0.41421868625051,0.5219594594594594,0.9821039903264812
21,Mouth_Slightly_Open,17428,677,1935,19768,0.9000671383566596,0.9626070146368406,0.46854500483923,0.7408116385911179,0.930287178392228
22,Mustache,708,1116,913,37071,0.4367674275138803,0.3881578947368421,0.0187405701580243,0.4499753573188763,0.4110304789550072
23,Narrow_Eyes,1079,1885,3557,33287,0.2327437446074202,0.36403508771929827,0.03139731129604842,0.6536199926497611,0.28394736842105267
24,No_Beard,32121,600,1115,5972,0.9664520399566735,0.9816631521041533,0.843225789515134,0.6501457725947521,0.9739982109556226
25,Oval_Face,4019,2728,7282,25779,0.35563224493407664,0.5956721505854454,0.13487482381367877,0.7274725274725274,0.44536790780141844
26,Pale_Skin,814,1139,910,36945,0.47215777262180975,0.416794674859191,0.021557774305463597,0.4441190824792582,0.4427522436769106
27,Pointy_Nose,4300,3752,6809,24947,0.3870735439733549,0.5340288127173373,0.14702362635483981,0.6447306126313797,0.4488283492510829
28,Receding_Hairline,1484,1344,1703,35277,0.4656416692814559,0.5247524752475248,0.040368869182013545,0.5589104036757466,0.4934330839567747
29,Rosy_Cheeks,1586,1628,1056,35538,0.6003028009084027,0.49346608587429996,0.04272168947311712,0.39344262295081966,0.5416666666666666
30,Sideburns,1737,1138,512,36421,0.7723432636727434,0.6041739130434782,0.04552125373447246,0.3103030303030303,0.6779859484777517
31,Smiling,16645,552,2617,19994,0.8641366420932406,0.9679013781473513,0.4542973334425066,0.8258125591669296,0.9130804465289778
32,Straight_Hair,4429,2928,3898,28553,0.5318842320163324,0.6020116895473698,0.13428536777636285,0.5710518605332552,0.5647793930119868
33,Wavy_Hair,9803,2841,3000,24164,0.7656799187690385,0.7753084466940842,0.2886036447139871,0.5136106831022085,0.7704641018587652
34,Wearing_Earrings,5334,1498,2273,30703,0.7011962665965558,0.7807377049180327,0.14801454061103866,0.6027578891540706,0.7388323291086639
35,Wearing_Hat,1726,277,153,37652,0.9185737094199042,0.8617074388417374,0.04383158108588552,0.3558139534883721,0.8892323544564658
36,Wearing_Lipstick,17450,1282,1336,19740,0.9288832109017353,0.9315609651932522,0.46921215380478626,0.5103132161955691,0.9302201609893916
37,Wearing_Necklace,1156,2703,3742,32207,0.236014699877501,0.29955947136563876,0.03464916224560141,0.5806051202482545,0.2640173575425374
38,Wearing_Necktie,2074,847,788,36099,0.7246680642907058,0.7100308113659706,0.05433159563041941,0.4819571865443425,0.717274770880166
39,Young,28703,2310,2107,6688,0.9316131126257708,0.9255151065682133,0.8110254019383459,0.47702060221870046,0.9285540979894215
