,TP,TN,FP,FN,precision,recall,TPR,FPR,F1
5_o_Clock_Shadow,1328,17305,363,844,0.7853341213569874,0.6114180476006363,0.6114180476006363,0.02054561919738818,0.6875480448024935
Arched_Eyebrows,3590,13172,1307,1771,0.733101898972207,0.6696511843555957,0.6696511843555957,0.09026866495681547,0.6999410099529947
Attractive,8685,7675,2034,1446,0.8102434927875507,0.8572697659799359,0.8572697659799359,0.20949634357714528,0.8330930254979033
Bags_Under_Eyes,1879,14974,828,2159,0.6941263388643789,0.465329370860493,0.465329370860493,0.05239843057509186,0.5571529663028179
Bald,325,19325,76,114,0.810473813440215,0.7403189049195469,0.7403189049195469,0.003917323849084206,0.7738090229906845
Bangs,2630,16398,430,382,0.8594771239021317,0.8731739704936342,0.8731739704936342,0.025552650343145196,0.8662709094958717
Big_Lips,702,14741,269,4128,0.7229660136735675,0.14534161487674085,0.14534161487674085,0.017921385741644143,0.24202695786577275
Big_Nose,2454,14377,858,2151,0.7409420287617929,0.5328990226855811,0.5328990226855811,0.05631768952698932,0.6199313055259794
Black_Hair,3686,14313,770,1071,0.8271992816815081,0.7748581036840744,0.7748581036840744,0.051050851949144674,0.8001731680038581
Blond_Hair,2579,16427,445,389,0.8528439150618903,0.8689353096802779,0.8689353096802779,0.026375059268232866,0.8608139189822753
Blurry,389,18703,125,623,0.7568093370490091,0.38438735139882674,0.38438735139882674,0.006639048225693698,0.5098291725035649
Brown_Hair,2547,14881,869,1543,0.7456088990791543,0.6227383861558097,0.6227383861558097,0.055174603171100026,0.6786565781916153
Bushy_Eyebrows,1604,16665,353,1218,0.8196218697906889,0.568391211705035,0.568391211705035,0.0207427429768044,0.6712696562966552
Chubby,468,18517,190,665,0.7112461995269814,0.4130626651252756,0.4130626651252756,0.010156625861433868,0.5226125999129358
Double_Chin,385,18740,179,536,0.6826241122648509,0.41802388662538126,0.41802388662538126,0.00946138802212266,0.5185180467176563
Eyeglasses,1261,18510,29,40,0.9775193790871942,0.9692544189321641,0.9692544189321641,0.0015642699173868994,0.9733688547191341
Goatee,983,18208,377,272,0.7227941171155925,0.7832669316467992,0.7832669316467992,0.020285176216288125,0.7518159438261048
Gray_Hair,538,18884,155,263,0.7763347752145241,0.6716604236308858,0.6716604236308858,0.008141183885280677,0.7202136917427705
Heavy_Makeup,7114,11196,1019,511,0.8747079797276887,0.9329836064350185,0.9329836064350185,0.08342202209714106,0.9029059606159977
High_Cheekbones,7652,9852,932,1404,0.8914259085634406,0.8449646642176496,0.8449646642176496,0.08642433233619952,0.8675731964050266
Male,8081,11500,120,139,0.9853676379727633,0.9830900242113029,0.9830900242113029,0.010327022374326417,0.984227013430772
Mouth_Slightly_Open,8904,9781,388,767,0.958243650348876,0.920690724752281,0.920690724752281,0.03815517749649373,0.9390914159370491
Mustache,241,18903,142,554,0.6292428182004104,0.30314465370673627,0.30314465370673627,0.007456025203073981,0.40916764196074384
Narrow_Eyes,298,17462,90,1990,0.7680412351339143,0.1302447551878301,0.1302447551878301,0.005127620783664105,0.22272023022029036
No_Beard,16178,2856,411,395,0.9752245463273721,0.9761660531601903,0.9761660531601903,0.12580348940134572,0.9756945726150705
Oval_Face,1885,13350,841,3764,0.6914893614484632,0.33368737823797356,0.33368737823797356,0.05926291310976937,0.4501488145299824
Pale_Skin,303,18901,82,554,0.7870129849687975,0.3535589260751938,0.3535589260751938,0.0043196544274182345,0.4879222767409184
Pointy_Nose,1592,13490,852,3906,0.6513911617629333,0.2895598398891306,0.2895598398891306,0.05940594058991731,0.4009061464859173
Receding_Hairline,670,18027,213,930,0.7587768960829254,0.4187499997382812,0.4187499997382812,0.011677631578307148,0.5396692955873438
Rosy_Cheeks,594,18277,247,722,0.7063020205632556,0.45136778081203055,0.45136778081203055,0.013334053119556571,0.5507644750579535
Sideburns,831,18441,278,290,0.7493237143829362,0.7413024079024956,0.7413024079024956,0.014851220684072268,0.7452909791670188
Smiling,8793,9665,522,860,0.943961352555667,0.9109085257525216,0.9109085257525216,0.05124177873257664,0.9271399471300255
Straight_Hair,2128,14776,1029,1907,0.6740576494538937,0.5273853778122961,0.5273853778122961,0.06510597911641215,0.5917681391007468
Wavy_Hair,4687,12392,1056,1705,0.8161239768733894,0.7332603252920431,0.7332603252920431,0.07852468768006211,0.7724758095025753
Wearing_Earrings,2665,15407,657,1111,0.8022275735092632,0.7057733048978355,0.7057733048978355,0.04089890437992412,0.7509152527500442
Wearing_Hat,861,18823,58,98,0.9368879206345072,0.897810218041908,0.897810218041908,0.0030718711931003724,0.916932406598845
Wearing_Lipstick,8980,9604,832,424,0.9152058702695469,0.9549128029609832,0.9549128029609832,0.07972403218860444,0.9346373019602026
Wearing_Necklace,78,17380,43,2339,0.6446280938460488,0.03227141082653231,0.03227141082653231,0.002468002066092636,0.061465630187091586
Wearing_Necktie,985,18219,202,434,0.8298230827044455,0.694150809940697,0.694150809940697,0.010965745615820761,0.7559473161227515
Young,14798,2973,1497,572,0.908131328572683,0.9627846453505019,0.9627846453505019,0.3348993287841388,0.9346592193004806
