,5_o_Clock_Shadow,Arched_Eyebrows,Attractive,Bags_Under_Eyes,Bald,Bangs,Big_Lips,Big_Nose,Black_Hair,Blond_Hair,Blurry,Brown_Hair,Bushy_Eyebrows,Chubby,Double_Chin,Eyeglasses,Goatee,Gray_Hair,Heavy_Makeup,High_Cheekbones,Male,Mouth_Slightly_Open,Mustache,Narrow_Eyes,No_Beard,Oval_Face,Pale_Skin,Pointy_Nose,Receding_Hairline,Rosy_Cheeks,Sideburns,Smiling,Straight_Hair,Wavy_Hair,Wearing_Earrings,Wearing_Hat,Wearing_Lipstick,Wearing_Necklace,Wearing_Necktie,Young
13,88.6565065655678,77.00419292475333,76.96151045720455,78.79434582841648,94.85550729368049,85.47038589972131,73.09498104396295,79.20359537020764,84.79248788571141,92.83938838534736,90.60232493911471,78.32232795199478,84.31293780913404,91.45346355670492,92.7063195159306,91.44844208993447,92.06859323608425,93.29132039468729,90.55964247156595,83.9965854025961,96.17364232092194,82.71360064274775,92.84692058550303,83.25842978734089,89.0582239072033,70.16244445002386,91.17477215094529,70.55411885811846,89.16618544276783,90.90612367872656,92.35230610861433,88.38534735996384,76.19573677471189,77.3356097316026,79.30151397223129,91.24758341911672,92.29455924075423,83.50950312586306,89.94702352557182,81.48334128398905
14,88.87996183685254,77.06947199276908,77.33812046498782,78.81694242888348,94.9609580958598,87.03206206532928,73.04978784302895,79.2337241708303,85.274548695674,93.0176504556981,90.91365587888222,78.98767229907855,84.4234100780838,91.60410755981822,92.87704938612569,91.7848803635542,92.43264957694143,93.45953953149716,90.57972833864771,84.18237967310252,96.2489643224786,83.17557558562856,92.99756458861633,83.40405232368374,89.93195912526049,70.13984784955686,91.34299128775515,70.56667252504457,89.3469582465038,90.96135981320144,92.80423811795426,88.5987596977077,76.23841924226066,77.7147304727711,79.45466870872983,91.36558788822215,92.35732757538477,83.5823143940345,89.98217379296493,82.07085289613096
15,89.08333124105552,77.40842099977404,77.65196213814055,78.91988249767758,95.06389816465389,88.39036882673429,73.1125561776595,79.2914710386904,85.56328303497452,93.19591252604886,90.92118807903789,79.5099048432047,84.53137161364835,91.64679002736699,92.93228552060057,92.07612543623992,92.78917371764292,93.71061287001933,90.65756107358959,84.19995480679907,96.35441512465792,83.80325893193402,93.05531145647643,83.47686359185518,90.36882673428909,70.21516985111352,91.1873258178714,70.57420472520023,89.46496271560923,91.08187501569208,93.2812774611464,88.65901729895302,76.33633784428432,78.03108287930904,79.60029124507268,91.34550202114038,92.4175851766301,83.51954605940395,90.04243139421025,82.74121870998519
16,89.3243616460368,77.37578146576615,77.75490220693464,79.01026889954555,95.05134449772778,89.58045645132944,73.23056064676491,79.39692184086972,85.6762660373095,93.22101985990108,90.96638127997188,79.82876798312788,84.70712295061388,91.67942956137487,93.05280072309121,92.25187677320545,93.07288659017298,93.98930427577895,90.79816214316202,84.15225087247985,96.434758592985,84.26774460820006,93.10552612418087,83.56724999372317,90.60985713927037,70.32313138667804,91.31537322051771,70.66961259383866,89.51768811669889,91.18230435110095,93.6152050013809,88.61884556478948,76.4945140475533,78.302242084913,79.79863918250521,91.38818448868915,92.32217730799167,83.65010419543549,90.04243139421025,82.6156820407241
17,89.50513444977278,77.4385498003967,78.07125461347259,79.20861683697808,95.18190263375932,90.60985713927037,73.25566798061713,79.44462577518894,85.89218910843857,93.38923899671094,90.89859147857089,80.14763112305104,84.98330362298827,91.83760576464385,93.28629892791685,92.51801451203896,93.41434633056316,94.28557081523513,90.76552260915413,84.3430666097567,96.52765572823822,85.01343242361094,93.3842175299405,83.61997539481283,91.87275603203696,70.45368952270958,91.24758341911672,70.639483793216,89.63820331918953,91.25009415250194,94.00939014286072,88.65399583218257,76.56983604910995,78.65625549222928,79.99949785332295,91.49614602425369,92.42009591001532,83.63001832835371,90.3010369328881,83.16051118531723
18,89.55785985086244,77.78000954078686,78.4629290215672,79.19355243666675,95.18190263375932,91.15719701724873,73.08493811042206,79.59526977830224,86.21356298174697,93.4193677973336,91.21243315172362,80.36857566095057,84.86529915388284,91.80998769740641,93.35911019608828,92.82683471842125,93.47962539857892,94.45127921865976,90.75799040899847,84.68201561676166,96.51761279469733,85.84197444073413,93.3390243290065,83.35885912274975,91.77734816339853,70.41100705516081,91.28775515328027,70.65956966029778,89.58296718471466,91.12706821662607,94.09475507795827,89.0933741745964,76.57234678249516,79.0504406337091,80.08235205503527,91.60410755981822,92.50546084511286,83.5019709257074,90.42657360214919,83.25591905395567
19,89.66079991965653,77.8528208089583,78.67131989254061,79.32913203946873,95.2823319691682,91.67942956137487,73.06485224334028,79.65552737954756,86.48974365412137,93.52732933289813,91.21745461849406,80.50415526375254,84.99585728991438,91.90790629943007,93.45953953149716,93.18084812573753,93.66541966908534,94.60945542192874,90.7504582088428,84.78746641894097,96.63812799718798,86.27633131637751,93.39174973009617,83.63503979512416,91.90790629943007,70.56667252504457,91.38065228853348,70.65203746014211,89.71101458736096,91.18230435110095,94.1675663461297,89.10090637475207,76.89623138918878,79.3492179065505,80.20286725752592,91.73466569584976,92.52554671219463,83.49443872555173,90.52700293755807,83.60742172788672
20,89.74867558813929,77.82018127495041,78.88473223028447,79.32411057269829,95.37522910442141,92.10374350347736,73.2180069798388,79.76599964849733,86.64038765723468,93.61018353461046,91.30533028697683,80.74518566873384,85.15654422656858,92.01335710160939,93.56247960029124,93.47209319842327,93.82359587235432,94.75005649150117,90.78058700946546,84.8828742875794,96.69085339827764,86.76090285972532,93.55996886690602,83.6978081297547,92.48286424464587,70.67463406060911,91.31788395390294,70.70476286123177,89.73612192121318,91.30030882020638,94.35587135002135,89.0356273067363,76.92384945642623,79.61284491199879,80.40372592834368,91.85267016495519,92.53307891235029,83.63755052850938,90.69773280775314,83.69027592959904
21,89.87672299078561,77.82520274172086,79.06299430063521,79.40194330764017,95.34258957041352,92.39247784277788,73.13013131135605,79.73587084787466,86.7935423937332,93.68299480278189,91.37814155514826,81.00881267418212,85.26450576213313,92.0033141680685,93.55243666675035,93.92151447437797,93.95415400838586,94.78520675889428,90.80067287654724,85.05862562454493,96.71344999874464,87.40616133972733,93.59009766752868,83.60742172788672,92.69376584900449,70.76250972909187,91.39571668884481,70.72735946169877,89.69092872027919,91.23251901880539,94.46885435235632,89.46747344899445,77.03683245876121,79.78859624896432,80.4765371965151,91.96314243390495,92.5908257802104,83.44171332446207,90.81322654347335,83.64508272866505
22,89.8867659243265,77.97584674483417,79.1885309698963,79.46220090888549,95.4455296392076,92.55567551281729,73.16528157874916,79.77604258203822,87.05214793241106,93.672951869241,91.35052348791082,81.11175274297622,85.23186622812524,92.14642597102613,93.67797333601145,94.07969067764694,94.06211554395038,94.97853322955635,90.7956514097768,85.0887544251676,96.83898666800573,87.7024278791835,93.60014060106957,83.70534032991037,92.71134098270105,70.75497752893621,91.46099575686058,70.73489166185443,89.77629365537673,91.26013708604283,94.53162268698686,89.28418991187326,77.10211152677697,80.11499158904316,80.61713826608752,92.09872203670692,92.6033794471365,83.5145245926335,90.88854854503,84.2150192071104
