,0
0,108.08127365713044
1,104.83522905965489
2,103.01206580935501
3,100.8592107096995
4,99.04587445597011
5,97.65213482473779
6,96.50849862887165
7,95.53860843688484
8,94.69173097385196
9,93.85948142705001
10,93.08561271607407
11,92.35303011916754
12,91.65660545769639
13,90.8884483878068
14,90.21428518220196
15,89.65230668435885
16,89.04656627985436
17,88.48474843182902
18,88.04830250176857
19,87.57929217721534
20,87.16948949858899
21,86.80435654046967
22,86.44567838653805
23,86.11483205960492
24,85.87573523333693
25,85.57653449351393
26,85.28976907805195
27,85.00771062655711
28,84.8235859668161
29,84.63430062842181
30,84.39413502610574
31,84.1808604683463
32,83.9233543576218
33,83.73735100453294
34,83.57425731749046
35,83.41556309977854
36,83.27535604642132
37,83.09594811867541
38,82.91973987489234
39,82.79876091423935
40,82.64858957125446
41,82.51630653922014
42,82.3517729871855
43,82.27558235709122
44,82.10886793962614
45,81.99331943782296
46,81.83415905809778
47,81.77322754146546
48,81.66224714864896
49,81.53470994844211
50,81.40968636340044
51,81.32100564551166
52,81.18984276478685
53,81.09070959616834
54,81.00126756082369
55,80.86362281859391
56,80.78836684339629
57,80.66600272111067
58,80.61288080891286
59,80.49799203947774
60,80.44327039343166
61,80.36244278554841
62,80.2468257393424
63,80.18124926709753
64,80.15839334322712
65,80.03928752508689
66,79.98144246499369
67,79.86183677132674
68,79.82675235778328
69,79.72375879963552
70,79.61848842590813
71,79.61687741016779
72,79.48508017232099
73,79.47937682144286
74,79.39543672096072
75,79.29706288735697
76,79.27745304858591
77,79.17164942223256
78,79.12671292522761
79,79.02239067498155
80,78.98772295854224
81,78.94371914600762
82,78.93103034552627
83,78.86153749480961
84,78.77821690116342
85,78.70929475318728
86,78.66946718711553
87,78.62920661986344
88,78.53708220954955
89,78.45476330133873
90,78.42802920604315
91,78.42408408818282
92,78.34147263173982
93,78.31078912930226
94,78.2312977107491
95,78.2119626743587
96,78.09150969738097
97,78.04340273639349
98,78.00946167472779
99,77.96470435435377
