,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
5_o_Clock_Shadow,88.91762283763087,90.67764694067137,91.29277662005072,91.17728288433051,91.93050289989706,91.96816390067539,92.28451630721334,91.77734816339853,92.35732757538477,92.45775691079365,92.49039644480153,92.92977478721535,92.89462451982224,92.85194205227347,93.00258605538677,92.93981772075624,92.95488212106757,93.03522558939466,92.99003238846068,92.94232845414146,93.02769338923899,93.19340179266364,93.16327299204097,93.19089105927841,93.04526852293554,93.41183559717794,92.91973185367446,93.44698586457105,93.46707173165282,93.49720053227547,93.40179266363705,93.56499033367646,93.45200733134149,93.6152050013809,93.14569785834442,93.48464686534936,93.46707173165282,93.20344472620452,93.40179266363705,93.43694293103016,93.71312360340455,93.49468979889025,93.42438926410405,93.61018353461046,93.68299480278189,93.48464686534936,93.68801626955234,93.75831680433855,93.45451806472671,93.71312360340455
Arched_Eyebrows,74.62150694217782,76.48949258078285,78.58595495744306,78.72906676040071,78.86213562981747,78.45790755479676,78.75417409425293,78.17419468226669,79.34168570639484,79.3366642396244,79.2111275703633,79.17848803635542,79.56263024429435,79.69569911371111,80.15767405659193,78.8194531622687,79.31908910592784,79.87898265083231,80.49662306359687,80.51670893067865,80.3836400612619,80.96864094001857,81.86999422531322,80.2681463255417,81.4783198172186,80.94353360616635,82.10600316352406,82.15119636445806,82.1436641643024,81.89761229255065,81.35780461472797,81.4431695498255,82.444952170529,83.46179919154385,82.64330010796154,82.93454518064726,82.31941550126793,82.72113284290342,82.59057470687188,83.39149865675763,82.36460870220192,83.45175625800296,82.93705591403248,83.41911672399507,83.17808631901379,83.79070526500792,83.70282959652515,83.78317306485225,83.31366592181577,83.41158452383941
Attractive,75.69861156443797,78.58846569082829,79.69318838032589,80.19784579075548,80.89331893846193,80.26312485877125,81.06153807527178,80.81548620352005,81.09166687589445,81.131838610058,80.89331893846193,81.55364181877526,81.5461096186196,81.38542268196541,81.6841999548068,81.23728941223732,81.71432875542946,81.77960782344523,81.77960782344523,81.76705415651912,81.79969369052701,81.79216149037134,81.71683948881468,81.72688242235557,81.6390067538728,81.75450048959301,81.56368475231615,81.7293931557408,81.8097366240679,81.88505862562454,81.7645434231339,82.06834216274574,81.87752642546889,81.98297722764819,81.84237615807578,81.94280549348464,81.57874915262748,81.46074468352205,81.62143162017625,81.90012302593587,81.67415702126591,81.63147455371714,81.26490747947476,81.84739762484622,82.18634663185117,80.7175676014964,81.82731175776445,82.1210675638354,82.0181274950413,81.92774109317331
Bags_Under_Eyes,79.70072058048156,80.09992718873183,80.58449873207964,80.63220266639885,80.52424113083431,80.73012126842251,81.06153807527178,81.20716061161465,81.38291194858019,81.26490747947476,81.5235130181526,81.3954656155063,81.88756935900976,81.67666775465113,81.76705415651912,82.03821336212307,81.27746114640087,82.2365612995556,82.11604609706495,82.13613196414673,82.14617489768762,82.48512390469256,82.2817545004896,82.29681890080093,82.08089582967185,82.15119636445806,82.58053177333099,82.48512390469256,82.72113284290342,82.2817545004896,82.57551030656055,82.20392176554772,82.5478922393231,82.55040297270833,82.52278490547089,82.93203444726204,82.73619724321475,83.2483868538,82.80649777800096,82.97973838158126,82.75628311029652,83.06008184990836,82.78390117753396,82.90692711340982,83.18310778578423,83.49192799216651,83.55218559341183,83.26596198749655,83.270983454267,83.70785106329559
Bald,97.6876145522107,97.6876145522107,97.6876145522107,97.6876145522107,97.68510381882548,97.6876145522107,97.68510381882548,97.70518968590726,97.72527555298903,97.78302242084914,97.77046875392303,97.79306535439002,97.87340882271711,97.9411986241181,98.07175676014964,98.05418162645309,98.2399758969595,98.24248663034473,98.19227196264029,98.34793743252403,98.42828090085114,98.3906199000728,98.44836676793291,98.49858143563735,98.43079163423636,98.48351703532602,98.50862436917824,98.57139270380878,98.596500037661,98.52117803610435,98.72454744030732,98.61658590474278,98.73710110723343,98.79484797509352,98.7923372417083,98.73710110723343,98.83753044264229,98.6768435059881,98.8048909086344,98.6994401064551,98.7345903738482,98.8952773105024,98.86263777649451,98.8274875091014,98.75969770770043,98.79735870847874,98.82246604233096,98.87016997665017,98.85510557633884,98.77225137462653
Bangs,84.85525622034196,84.85525622034196,88.63893143187126,93.35911019608828,93.54239373320947,94.1901629465967,94.6847774234854,94.83793215998394,94.98606542971201,95.19445630068543,95.11411283235833,95.44301890582238,95.50327650706771,95.42795450551105,95.30743930302042,95.39531497150318,95.59617364232092,95.53340530769037,95.39531497150318,95.68907077757413,95.77192497928645,95.5133194406086,95.58361997539481,95.62379170955836,95.53089457430515,95.6514097767958,95.65643124356625,95.65643124356625,95.80456451329434,95.56855557508348,95.7191995781968,95.59617364232092,95.63132390971403,95.69158151095935,95.6740063772628,95.87737578146577,95.834693313917,95.84222551407267,95.72924251173768,95.66647417710713,95.78447864621256,95.70413517788546,95.70162444450024,95.64387757664014,95.75937131236034,95.7995430465239,95.80707524667956,95.60872730924703,95.83720404730222,95.74681764543423
Big_Lips,75.74129403198674,75.74129403198674,75.74631549875718,75.7940194330764,75.81912676692862,75.85929850109217,75.88691656832961,75.9321097692636,76.15807577393356,76.27105877626855,76.61000778327349,76.32629491074343,76.44681011323408,76.60247558311782,76.86108112179568,77.0594290592282,76.6225614501996,76.80835572070602,76.90376358934445,76.98661779105677,77.08704712646563,77.22764819603806,77.33812046498782,77.0468753923021,77.20254086218584,77.19249792864495,77.12219739385874,77.26781993020161,77.17743352833362,77.17994426171884,77.45612493409325,77.18496572848929,77.49880740164203,77.68460167214843,77.32305606467649,77.4837430013307,77.59923673705089,77.39586733284793,77.59923673705089,77.34816339852871,77.16990132817796,77.56910793642822,77.61932260413266,77.56408646965778,77.39586733284793,77.41344246654448,77.55153280273167,77.48123226794547,77.49127520148636,77.51136106856814
Big_Nose,77.89299254312185,80.3384468603279,80.76276080243039,80.73514273519295,81.06907027542745,81.42810514951417,81.78965075698612,81.81224735745312,82.00557382811519,82.25162569986693,82.17128223153983,82.18383589846594,82.08842802982751,82.26920083356349,82.64581084134676,82.6156820407241,81.9729342941073,82.60814984056843,82.7186221095182,82.43490923698812,82.71108990936253,82.97471691481081,82.65334304150242,82.7989655778453,82.87428757940194,82.70355770920686,82.99229204850737,83.05254964975269,83.13540385146501,82.78641191091918,83.19315071932512,82.55793517286399,83.3287303221271,83.23834392025911,83.18059705239901,83.42413819076552,83.5019709257074,83.52205679278917,83.42664892415074,83.41409525722463,82.98978131512214,83.4216274573803,83.28855858796355,83.48439579201084,83.43167039092118,83.90870973411333,83.40656305706896,83.203193652866,83.57729292726405,83.71036179668081
Black_Hair,76.45183158000452,84.64184388259811,87.18019533505738,87.86060408245248,88.98290190564664,88.64144216525648,89.28418991187326,89.41976951467524,89.88927665771172,90.09766752868512,90.12277486253734,89.96962012603882,89.3118079791107,90.3939340681413,90.58474980541816,90.17047879685656,90.66760400713048,90.32363353335509,90.62743227296693,90.66509327374526,90.69522207436792,90.38640186798564,90.52700293755807,90.41150920183786,90.68768987421225,90.78811920962113,90.46674533631274,90.48934193677974,90.61990007281126,90.53453513771373,90.62743227296693,90.60232493911471,90.81322654347335,90.85088754425168,90.72032940822014,90.63998593989304,90.8082050767029,90.89608074518567,90.59228200557382,90.68266840744181,90.89105927841523,90.59228200557382,90.92620954580833,90.91365587888222,90.80318360993246,90.83582314394035,90.54457807125462,90.58223907203293,90.78309774285069,90.77054407592458
Blond_Hair,86.6303447236938,92.9247533204449,94.14748047904793,94.59690175500263,94.14245901227748,94.7651208918125,95.06640889803911,95.10658063220266,95.26726756885687,95.20952070099676,95.40535790504407,95.41540083858494,95.5133194406086,95.3978257048884,95.46059403951894,95.43046523889628,95.49323357352682,95.26475683547164,95.3174822365613,95.53089457430515,95.42544377212583,95.3978257048884,95.71668884481157,95.60872730924703,95.60872730924703,95.26224610208642,95.31497150317608,95.64889904341058,95.60370584247659,95.58361997539481,95.52336237414949,95.6288131763288,95.39029350473274,95.5359160410756,95.60621657586181,95.45808330613372,95.5484697080017,95.50829797383815,95.38276130457707,95.25220316854553,95.61374877601747,95.6966029777298,95.41791157197017,95.62379170955836,95.6966029777298,95.65643124356625,95.65894197695147,95.47314770644505,95.57608777523915,95.3626754374953
