,TP,TN,FP,FN,precision,recall,TPR,FPR,F1
5_o_Clock_Shadow,1456,17294,432,722,0.7711864402694987,0.668503213650825,0.668503213650825,0.02437098047927502,0.7161824830080911
Arched_Eyebrows,3828,13073,1455,1548,0.7245883019639242,0.7120535712961209,0.7120535712961209,0.10015143171116798,0.7182657537736082
Attractive,8724,7614,2129,1437,0.8038330414812648,0.85857691163679,0.85857691163679,0.21851585751631777,0.8303031075825466
Bags_Under_Eyes,1894,15052,800,2158,0.7030438007783802,0.4674234944552262,0.4674234944552262,0.05046681806393724,0.5615174566506773
Bald,317,19399,65,123,0.8298429297648091,0.7204545438171488,0.7204545438171488,0.0033394985612752006,0.7712890383259288
Bangs,2697,16367,513,327,0.84018691562611,0.8918650790701504,0.8918650790701504,0.03039099525886309,0.865254553103316
Big_Lips,786,14694,360,4064,0.6858638737470646,0.16206185563668826,0.16206185563668826,0.023913909922684076,0.2621744739062506
Big_Nose,2389,14494,791,2230,0.7512578613989755,0.517211517532537,0.517211517532537,0.05175008177613673,0.612642163358537
Black_Hair,3896,14159,976,873,0.7996715926109048,0.8169427551233083,0.8169427551233083,0.06448629005190047,0.8082144153549169
Blond_Hair,2535,16556,366,447,0.873836607764965,0.850100603336653,0.850100603336653,0.021628649094573415,0.861804701229937
Blurry,430,18748,140,586,0.7543859635887965,0.4232283460401296,0.4232283460401296,0.007412113510831633,0.542244179461597
Brown_Hair,2532,14979,823,1570,0.7546944856170806,0.6172598730820916,0.6172598730820916,0.052082014931522466,0.6790929740592218
Bushy_Eyebrows,1652,16707,367,1178,0.8182268445674953,0.5837455828325988,0.5837455828325988,0.02149467025761423,0.6813771173353677
Chubby,417,18627,141,719,0.7473118266177208,0.3670774644656008,0.3670774644656008,0.0075127877233848684,0.49232541359152776
Double_Chin,354,18850,130,570,0.7314049571665187,0.38311688270225447,0.38311688270225447,0.00684931506813228,0.5028404572051761
Eyeglasses,1257,18570,30,47,0.9766899759310878,0.963957054475493,0.963957054475493,0.0016129032257197363,0.970281243773012
Goatee,955,18321,320,308,0.7490196072556708,0.7561361830909451,0.7561361830909451,0.01716646102584805,0.752560571128483
Gray_Hair,560,18951,149,244,0.7898448507900637,0.6965174120690082,0.6965174120690082,0.007801047120010416,0.7402506576354857
Heavy_Makeup,6993,11414,843,654,0.8924196017237851,0.9144762650824537,0.9144762650824537,0.06877702536764485,0.9033128113318616
High_Cheekbones,7609,9957,868,1470,0.8976052847826347,0.8380878950503262,0.8380878950503262,0.0801847574983663,0.8668256567892897
Male,8130,11517,134,123,0.9837850918461053,0.9850963284884168,0.9850963284884168,0.011501158697836996,0.9844397735387164
Mouth_Slightly_Open,8959,9771,431,743,0.9541001063946645,0.9234178518941024,0.9234178518941024,0.04224661830599425,0.9385077757530591
Mustache,266,18957,148,533,0.6425120757427245,0.33291614476481085,0.33291614476481085,0.0077466631767732705,0.438581577676761
Narrow_Eyes,399,17496,111,1898,0.7823529396424452,0.17370483231445155,0.17370483231445155,0.006304310785124989,0.28428897924998286
No_Beard,16193,2886,393,432,0.976305317678988,0.9740150375353975,0.9740150375353975,0.119853613870127,0.9751583328590255
Oval_Face,1687,13661,585,3971,0.7425176053069905,0.2981618946097275,0.2981618946097275,0.041064158357358965,0.42547247881963246
Pale_Skin,295,18961,83,565,0.7804232783586685,0.3430232554150892,0.3430232554150892,0.004358328082106788,0.47657469618553183
Pointy_Nose,1845,13381,1000,3678,0.6485061509144091,0.3340575773431002,0.3340575773431002,0.06953619358392767,0.44096513427823786
Receding_Hairline,755,18053,248,848,0.7527417739254818,0.47099188991204494,0.47099188991204494,0.013551172066359697,0.579431605876254
Rosy_Cheeks,601,18361,225,717,0.727602904688132,0.4559939298512944,0.4559939298512944,0.0121058861502149,0.5606338541656164
Sideburns,856,18514,264,270,0.7642857136033162,0.7602131431969688,0.7602131431969688,0.014059005218124454,0.762243488639476
Smiling,8842,9708,520,834,0.9444563126528032,0.9138073583181265,0.9138073583181265,0.05084082909162682,0.9288785839760908
Straight_Hair,2279,14778,1072,1775,0.6800954936794702,0.5621608286723826,0.5621608286723826,0.06763406939636378,0.6155295516059213
Wavy_Hair,4745,12432,1063,1664,0.8169765838813745,0.7403651114463465,0.7403651114463465,0.07876991477741609,0.7767859462006271
Wearing_Earrings,2759,15421,700,1024,0.7976293724204598,0.7293153579885501,0.7293153579885501,0.043421623966042946,0.7619437150961337
Wearing_Hat,877,18870,71,86,0.9251054842562179,0.9106957415257573,0.9106957415257573,0.0037484821285175816,0.9178435597716913
Wearing_Lipstick,8936,9691,784,493,0.9193415636914257,0.9477144977253458,0.9477144977253458,0.07484486872793844,0.9333119445323312
Wearing_Necklace,65,17446,34,2359,0.6565656499336803,0.026815181507089447,0.026815181507089447,0.0019450800914219061,0.05152588571801308
Wearing_Necktie,1042,18241,240,381,0.8127925110664644,0.7322557970960957,0.7322557970960957,0.012986310263893387,0.7704246394213988
Young,14891,3000,1480,533,0.9095962371932321,0.9654434646676968,0.9654434646676968,0.3303571427834024,0.9366876589003956
