,TP,FN,FP,TN,precision,recall,TPR,FPR,F1
5_o_Clock_Shadow,1118,1039,529,17026,0.6788099570863327,0.06161816578143639,0.06161816578143639,0.3373724487644308,0.11298049516970478
Arched_Eyebrows,2894,2437,1592,12789,0.6451181451972541,0.18453102083883624,0.18453102083883624,0.3951352691995197,0.2869747148094402
Attractive,8755,1316,2595,7046,0.7713656386985581,0.5540788557335562,0.5540788557335562,0.6635131678180739,0.644911303011217
Bags_Under_Eyes,1136,2877,738,14961,0.6061899676594503,0.07057215629803242,0.07057215629803242,0.20414937753688814,0.12642572158423213
Bald,1,434,1,19276,0.499999750000125,5.187529179582532e-05,5.187529179582532e-05,0.0022988505694279296,0.00010373961306154253
Bangs,2041,961,226,16484,0.900308777723728,0.11017543859054384,0.11017543859054384,0.19039595603167989,0.1963253155042269
Big_Lips,72,4725,34,14881,0.6792452766108936,0.004815087273134817,0.004815087273134817,0.007144358056914402,0.00956237396065109
Big_Nose,1872,2691,880,14269,0.6802325578923574,0.11597794435809566,0.11597794435809566,0.24642957147957728,0.1981683849751494
Black_Hair,3280,1442,790,14200,0.8058968056987968,0.18764302058423094,0.18764302058423094,0.35394265217117266,0.30440804625260026
Blond_Hair,2385,569,437,16321,0.8451452867309903,0.12749919811143487,0.12749919811143487,0.43439363773917133,0.2215716785305738
Blurry,0,1008,0,18704,0.0,0.0,0.0,0.0,0.0
Brown_Hair,1377,2690,529,15116,0.7224554036083655,0.08348996543482144,0.08348996543482144,0.164336750492595,0.14968186219902246
Bushy_Eyebrows,845,1953,398,16516,0.6798069181980636,0.04867231149999007,0.04867231149999007,0.16928966390077005,0.09084055471511945
Chubby,150,978,77,18507,0.6607929486308681,0.008039877793426603,0.008039877793426603,0.07298578192134049,0.01588644097788181
Double_Chin,179,736,86,18711,0.6754716955642578,0.009475913181075917,0.009475913181075917,0.10462287091895028,0.018689609882311206
Eyeglasses,821,468,60,18363,0.9318955721544886,0.04279608006449145,0.04279608006449145,0.11363636342114325,0.0818339554050697
Goatee,674,573,246,18219,0.7326086948558601,0.035674588470032575,0.035674588470032575,0.3003662999995527,0.06803604932645552
Gray_Hair,343,449,138,18782,0.7130977116151814,0.017934640521938057,0.017934640521938057,0.2350936963627024,0.03498924112681545
Heavy_Makeup,7076,500,1304,10832,0.8443914080137958,0.3951306678358761,0.3951306678358761,0.7228381370715974,0.5383440574265371
High_Cheekbones,7341,1659,1009,9703,0.8791616765414177,0.43070875378838835,0.43070875378838835,0.3781859069047279,0.578167629759392
Male,7940,227,309,11236,0.962540913933502,0.41405924069597105,0.41405924069597105,0.5764925362378871,0.5790333076821886
Mouth_Slightly_Open,8094,1514,586,9518,0.9324884791552432,0.4595730183704535,0.4595730183704535,0.2790476189147392,0.6157001509957539
Mustache,48,744,51,18869,0.4848484799510255,0.002537400221888386,0.002537400221888386,0.0641509433155334,0.005048369952730415
Narrow_Eyes,0,2277,0,17435,0.0,0.0,0.0,0.0,0.0
No_Beard,16149,314,700,2549,0.9584545076290311,0.8636752593398398,0.8636752593398398,0.6903353050391171,0.9085993831485354
Oval_Face,1011,4593,671,13437,0.601070154220529,0.06997508305163516,0.06997508305163516,0.12746960483900652,0.1253562917882272
Pale_Skin,0,850,0,18862,0.0,0.0,0.0,0.0,0.0
Pointy_Nose,891,4576,771,13474,0.5361010827099271,0.06202575704406364,0.06202575704406364,0.14419300539663493,0.11118718540471864
Receding_Hairline,110,1481,71,18050,0.6077348032721834,0.0060572687221334106,0.0060572687221334106,0.04574742265093593,0.011994964372118501
Rosy_Cheeks,190,1113,84,18325,0.6934306544035378,0.010261949769902136,0.010261949769902136,0.07017543853786512,0.02022457075692164
Sideburns,601,511,221,18379,0.7311435514219665,0.03166491043036539,0.03166491043036539,0.3019125678935621,0.060700859717436516
Smiling,8294,1293,594,9531,0.9331683167266912,0.4653015427508947,0.4653015427508947,0.3147853734420851,0.6209706186961763
Straight_Hair,555,3462,358,15337,0.6078860891479889,0.034923231812552025,0.034923231812552025,0.09371727746237768,0.06605166754391315
Wavy_Hair,3717,2632,859,12504,0.8122814683539594,0.22914740150242602,0.22914740150242602,0.24606130041648203,0.35745505895188656
Wearing_Earrings,973,2770,442,15527,0.6876325083479629,0.058969696966123045,0.058969696966123045,0.1376089663332475,0.10862391254877032
Wearing_Hat,346,608,41,18717,0.8940568452349953,0.018150343596592858,0.018150343596592858,0.06317411392423095,0.03557836716350048
Wearing_Lipstick,8840,503,894,9475,0.9081569754563225,0.48266448263812917,0.48266448263812917,0.6399427339728399,0.6303250485520511
Wearing_Necklace,0,2395,0,17317,0.0,0.0,0.0,0.0,0.0
Wearing_Necktie,408,1008,181,18115,0.692699489486079,0.022026669544780723,0.022026669544780723,0.15222876353891607,0.042695628831111436
Young,14838,440,2106,2328,0.8757082152457679,0.8643830827878141,0.8643830827878141,0.8271798896986725,0.870008295045213
