,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
5_o_Clock_Shadow,84.31544854251926,87.88320068291948,89.34946897988901,89.11848150844862,89.54028471716589,89.96208792588315,90.3361872002812,90.11775339576691,90.14537146300434,90.53453513771372,90.37133746767431,90.31610133319944,90.55713173818071,90.74292600868714,91.1873258178714,90.84084461071079,90.71781867483492,91.06681061538076,91.02161741444678,91.08689648246252,91.42584548946749,91.38316302191869,91.13208968339652,91.34048055436993,91.57648949258078,91.54636069195813,91.81500916417687,91.55138215872856,91.8426272314143,91.41078108915615,91.70704762861232,91.98322830098671,91.48861382409801,91.50869969117979,92.18659770518968,91.90790629943008,91.89535263250394,91.88530969896307,91.8200306309473,92.28702704059856,92.19664063873057,92.0259107685355,92.14140450425569,92.13387230410002,91.86020236511084,92.10625423686258,92.36485977554042,92.26191970674635,92.02340003515027,92.47282131110498,92.13387230410002,91.79241256370985,92.57827211328429,91.89535263250394,92.246855306435,92.31715584122122,92.42260664340056,92.53307891235028,92.337241708303,92.56571844635819
Arched_Eyebrows,75.33957669035125,77.24271259634939,78.16917321549623,78.5558261568204,78.59599789098395,78.8997966305958,78.99520449923422,79.15840216927364,79.35926084009141,79.44462577518894,79.27138517160863,79.38185744055839,79.25129930452684,79.65050591277713,79.79612844911999,80.02962665394561,79.92417585176631,79.98443345301163,80.10243792211705,80.27567852569736,80.3384468603279,80.85063647091316,80.94353360616634,81.06655954204224,81.09166687589445,80.96110873986291,81.46074468352204,81.79969369052702,81.44819101659594,81.81224735745313,81.8925908257802,81.867483491928,82.18383589846594,82.06080996259007,82.490145371463,82.44746290391423,82.56797810640488,82.51274197193001,82.62321424087976,82.29932963418615,82.60061764041276,82.64330010796155,82.80147631123052,82.7788797107635,82.7763689773783,82.90943784679504,82.83411584523841,82.98978131512213,82.70355770920686,83.03999598282658,82.36460870220192,82.98978131512213,83.12787165130935,82.81654071154185,83.0651033166788,83.09021065053102,83.13540385146501,83.05003891636747,83.07263551683447,83.1780863190138
Attractive,75.22659368801627,77.50382886841247,79.80617138266088,80.60709533254662,80.88829747169149,80.78033593612696,80.96361947324813,80.95859800647769,81.51095935122649,81.29754701348264,81.19962841145899,81.28499334655653,81.50844861784127,81.36533681488362,81.45572321675161,81.40299781566195,81.68671068819201,81.61641015340581,81.76956488990434,81.45070174998115,81.34274021441664,81.51095935122649,81.44065881644028,81.73441462251124,81.85744055838711,81.33520801426097,81.17703181099198,81.61138868663537,81.78965075698612,81.47329835044816,81.94531622686986,81.7067965552738,81.43061588289939,81.30758994702353,81.61389942002059,82.29932963418615,81.77960782344523,81.95535916041075,81.26239674608955,81.62394235356147,82.0407240955083,81.9377840267142,81.82982249114967,82.10349243013884,82.04323482889352,81.95284842702553,82.11353536367973,81.69424288834769,81.50342715107081,82.03068116196741,81.69173215496247,82.0532777624344,81.96540209395164,82.02314896181173,82.467548770996,82.3043511009566,82.23907203294083,82.09093876321273,81.96791282733686,81.76705415651912
Bags_Under_Eyes,77.17743352833362,78.57842275728741,78.99018303246378,79.43960430841851,79.73084938110422,79.75595671495644,80.2581033920008,80.15516332320671,80.76778226920084,80.56943433176829,80.9008511386176,80.78284666951218,80.83055060383138,80.9259584724698,81.31010068040875,80.96110873986291,81.10422054282056,81.17201034422155,81.26490747947476,80.87574380476538,80.6723744005624,81.51849155138216,81.12932787667279,81.25737527931909,81.32516508072008,81.2121820783851,81.154435210525,81.74445755605213,81.2473323457782,81.45572321675161,81.69424288834769,81.23226794546687,81.40550854904717,81.75701122297824,81.62645308694671,82.00055236134475,81.89761229255066,81.74947902282256,81.62645308694671,82.27422230033393,82.16123929799895,81.81977955760878,81.9854879610334,82.04825629566396,82.17379296492506,82.26166863340781,82.34703356850537,82.42988777021769,81.73441462251124,82.65585377488766,82.14366416430241,82.22902909939994,82.444952170529,81.88254789223933,82.65585377488766,82.75126164352608,82.63325717442065,82.59057470687188,82.26920083356347,82.51274197193001
Bald,91.33545908759949,92.67870144869316,93.84619247282131,94.28054934846467,94.63456275578095,94.56426222099476,94.72745989103416,95.144241632981,95.27731050239777,95.1467523663662,95.41289010519972,95.56604484169827,95.65140977679579,95.8698435813101,96.10083105275051,95.95520851640764,96.25398578924904,96.17113158753672,96.54020939516431,96.55276306209043,96.54272012854956,96.95950187049637,96.68583193150721,96.98209847096336,96.95448040372592,97.18797860855156,97.1001029400688,97.31351527781266,97.29342941073088,97.2532576765673,97.5143739486304,97.3536870119762,97.42147681337718,97.40892314645107,97.47420221446684,97.59722815034272,97.64744281804717,97.56709934972004,97.59973888372794,97.69263601898115,97.59973888372794,97.5595671495644,97.47169148108162,97.87089808933187,97.83323708855356,97.9411986241181,97.79808682116048,97.73531848652992,97.69012528559591,97.97634889151121,97.77046875392305,98.02656355921565,98.03158502598608,97.77046875392305,97.98388109166687,97.94370935750332,98.0114991589043,98.06422455999396,98.03911722614176,98.07175676014963
Bangs,80.05724472118304,84.98832508975872,92.72138391624192,93.6704411358558,94.26799568153858,94.44374701850413,94.70235255718195,94.78269602550905,94.85048582691003,94.91827562831104,95.05134449772777,95.06640889803913,95.09653769866179,95.09653769866179,95.24969243516031,95.26475683547164,95.13670943282531,95.34510030379873,95.28986416932386,95.31246076979086,95.38025057119185,95.30241783624996,95.35514323733965,95.22207436792287,95.40284717165883,95.36769690426573,95.45557257274851,95.47314770644505,95.38778277134752,95.44301890582237,95.47565843983028,95.53842677446082,95.34007883702829,95.39531497150318,95.47314770644505,95.2145421677672,95.20952070099676,95.53340530769036,95.26475683547164,95.5484697080017,95.56604484169827,95.38778277134752,95.30995003640564,95.57608777523916,95.30995003640564,95.50578724045292,95.49825504029728,95.48570137337116,95.46059403951892,95.13419869944009,95.49323357352682,95.52838384091991,95.45055110597805,95.5710663084687,95.41540083858494,95.40033643827364,95.55098044138693,95.57608777523916,95.41289010519972,95.4907228401416
Big_Lips,71.31236034045544,71.85216801827814,72.18860629189788,71.37512867508599,72.23631022621706,72.23631022621706,72.5150016319767,73.12008837781516,73.34103291571468,72.5375982324437,73.99131286248712,73.39626905018956,74.10680659820734,73.01463757563585,73.25817871400236,74.47839513922017,73.2180069798388,74.37294433704085,74.41060533781919,73.69504632303095,73.44397298450878,74.43320193828617,74.43320193828617,73.30337191493635,74.39554093750785,73.05732004318462,74.42064827136006,74.99560621657587,74.13191393205956,73.93607672801225,74.53112054030983,73.88084059353737,74.36290140349996,74.71440407743101,74.38298727058174,75.03828868412464,74.08923146451079,73.97373772879058,74.50099173968718,75.70865449797886,75.09603555198473,74.5863566747847,74.74202214466845,74.88764468101131,75.23412588817195,75.56052122825078,75.22659368801627,74.30766526902508,74.35787993672952,74.91777348163399,74.25745060132064,74.8976876145522,75.78397649953551,74.32272966933641,75.3220015566547,74.77215094529113,75.80657310000252,75.61324662934042,74.88011248085566,75.12365361922217
Big_Nose,77.68962313891888,79.07805870094656,79.8212357829722,80.01958372040473,80.2581033920008,80.4890908634412,81.13937081021365,81.24231087900777,81.3628260814984,81.40048708227674,81.60134575309448,81.51849155138216,81.70177508850334,81.64653895402847,81.98297722764819,81.67164628788069,81.76956488990434,81.73441462251124,82.11604609706495,81.85241909161667,81.46827688367772,82.31941550126794,81.9377840267142,82.00808456150041,82.06332069597529,81.85492982500189,82.0758743629014,82.45248437068467,82.12357829722062,82.08340656305705,82.53533857239701,81.96791282733686,82.1336212307615,82.02063822842652,82.32192623465316,82.63074644103543,82.34452283512016,82.55793517286399,82.13613196414674,82.648321574732,82.66087524165809,82.59308544025708,82.55291370609355,82.54538150593787,82.74624017675563,82.82909437846796,82.69351477566597,82.81905144492707,82.11855683045017,82.74624017675563,82.57551030656055,82.83662657862362,82.96718471465516,81.91016595947677,82.79645484446006,83.03748524944136,82.99731351527781,83.00233498204825,82.42737703683245,82.59810690702756
Black_Hair,79.20861683697808,84.98079288960304,87.1601094679756,87.8756684827638,88.53348062969195,88.95026237163877,89.16116397599737,89.40470511436389,89.64824625273043,89.66582138642697,89.63569258580429,89.64071405257475,89.9093625247935,89.85161565693339,90.07507092821814,89.84659419016295,89.9671093926536,89.95957719249795,90.01230259358759,90.03238846066938,90.00728112681715,89.87672299078562,90.00728112681715,90.10017826207034,89.88174445755604,89.87672299078562,90.11775339576691,90.08762459514423,90.22069346456101,90.02736699389892,90.22571493133144,90.130307062693,90.29099399934721,90.18052173039743,90.16796806347132,90.09264606191469,90.18554319716787,90.243290065028,90.0022596600467,89.99472745989105,90.29350473273243,90.17047879685656,90.19307539732357,90.12277486253734,90.2809510658063,89.99723819327627,90.18805393055312,89.94451279218659,90.26337593210975,89.89178739109694,89.84408345677772,89.68841798689398,90.03740992743981,90.31107986642898,89.66582138642697,90.25082226518366,89.99221672650582,89.94451279218659,90.1830324637827,90.02987772728414
Blond_Hair,87.61204147731554,92.43516031032664,93.30136332822819,94.01190087624596,94.26046348138293,94.29059228200558,94.58434808807651,94.62451982224009,94.78520675889428,94.75758869165684,94.83542142659871,94.93585076200758,94.85299656029528,94.87559316076228,95.04381229757212,94.99861909663812,95.02372643049034,95.00364056340857,94.88312536091793,94.89818976122926,94.87810389414749,95.10155916543222,95.01619423033468,94.88312536091793,94.99108689648244,94.97602249617113,94.98606542971201,95.05887669788343,95.1141128323583,95.12415576589922,94.9710010294007,95.1467523663662,95.099048432047,95.04381229757212,95.02121569710512,95.04381229757212,95.00112983002334,95.04381229757212,95.04883376434256,95.20952070099676,95.18441336714454,95.17185970021843,95.02372643049034,94.96849029601546,95.189434833915,95.17688116698886,95.03628009741644,95.17185970021843,94.9484044289337,95.23462803484898,95.1467523663662,95.31246076979086,95.30995003640564,95.24718170177508,95.03376936403124,95.26475683547164,94.91074342815537,95.19445630068545,95.08900549850613,94.91074342815537
