,5_o_Clock_Shadow,Arched_Eyebrows,Attractive,Bags_Under_Eyes,Bald,Bangs,Big_Lips,Big_Nose,Black_Hair,Blond_Hair,Blurry,Brown_Hair,Bushy_Eyebrows,Chubby,Double_Chin,Eyeglasses,Goatee,Gray_Hair,Heavy_Makeup,High_Cheekbones,Male,Mouth_Slightly_Open,Mustache,Narrow_Eyes,No_Beard,Oval_Face,Pale_Skin,Pointy_Nose,Receding_Hairline,Rosy_Cheeks,Sideburns,Smiling,Straight_Hair,Wavy_Hair,Wearing_Earrings,Wearing_Hat,Wearing_Lipstick,Wearing_Necklace,Wearing_Necktie,Young
8,90.14537146300434,79.3592608400914,81.51095935122649,80.76778226920084,95.27731050239775,94.85048582691005,73.34103291571468,81.36282608149841,89.64824625273042,94.78520675889428,92.33975244168822,84.89542795450551,86.11815511310854,92.40001004293354,93.68299480278189,99.02332471314871,94.94338296216324,95.85477918099878,91.45848502347536,87.25049586984358,98.24248663034473,93.16829445881142,93.44447513118583,81.41053001581761,94.82035702628738,71.21946320520225,90.13532852946345,71.04873333500716,89.69092872027919,90.97642421351277,95.10155916543222,91.80998769740641,80.19031359059981,84.54392528057446,84.63682241582767,97.97383815812599,93.26119159406463,81.20213914484421,92.76155565040548,87.29568907077757
9,90.53453513771373,79.44462577518894,81.29754701348264,80.5694343317683,95.14675236636621,94.91827562831104,72.5375982324437,81.40048708227674,89.66582138642697,94.75758869165684,91.68445102814532,85.25446282859224,86.6880915915539,92.21923723919757,93.47209319842327,99.10617891486103,94.91576489492581,95.52336237414949,91.42584548946748,87.2078134022948,98.18725049586985,93.2812774611464,93.65286600215923,81.89510155916543,94.9961083632529,71.55590147882197,90.70275427452358,70.94077179944262,89.72105752090185,91.2099224183384,95.2019885008411,92.12885083732958,80.49160159682643,84.80002008586708,84.92304602174295,98.09435336061664,93.3490672625474,80.46147279620376,92.76908785056115,86.40940018579427
10,90.37133746767431,79.27138517160863,81.19962841145899,80.9008511386176,95.41289010519972,95.05134449772778,73.99131286248713,81.60134575309448,89.6356925858043,94.83542142659871,92.0033141680685,85.16407642672425,86.69562379170956,92.25940897336112,93.57503326721735,99.12375404855759,94.79273895904994,95.76188204574557,91.7622837630872,87.25049586984358,98.20984709633684,93.34404579577695,93.04275778955032,82.7537723769113,94.21527028044892,71.73667428255794,90.9914886138241,71.41278967586432,89.49760224961712,91.29277662005072,94.97853322955635,92.05352883577292,80.59956313239097,85.03100755730749,85.49549323357353,98.21989002987773,93.10552612418087,81.05400587511612,93.40932486379272,86.67553792462779
11,90.31610133319943,79.38185744055839,81.28499334655653,80.78284666951217,95.56604484169826,95.06640889803911,73.39626905018956,81.51849155138216,89.64071405257475,94.93585076200758,92.24685530643501,85.31220969645233,86.57761932260414,92.20166210550101,93.45953953149716,99.22418338396646,94.89818976122926,95.90248311531798,91.77232669662808,87.0571693991815,98.22993296341862,93.34655652916217,93.3264706620804,80.9134048055437,94.80529262597605,71.6287127469934,89.60556378518166,71.32491400738155,89.44236611514224,91.62168269351477,95.12917723266966,91.79492329709508,80.53930553114564,84.98832508975872,85.77167390594792,98.35044816590926,93.02518265585377,81.19460694468854,93.64784453538878,86.61025885661202
12,90.55713173818073,79.25129930452685,81.50844861784127,80.83055060383138,95.6514097767958,95.09653769866178,74.10680659820734,81.70177508850335,89.9093625247935,94.85299656029527,92.64104044791483,85.44778929925431,87.23794220291747,92.30962364106556,93.60265133445479,99.20911898365513,95.09653769866178,95.95771924979286,91.77232669662808,87.24547440307313,98.29019056466394,93.41183559717794,93.62022646815134,82.71108990936253,95.2245851013081,72.06055888925155,90.22320419794622,71.64879861407518,90.02234552712848,91.56644655903989,95.34258957041352,92.20166210550101,80.96613020663335,85.10632955886415,86.13321951341987,98.45589896808858,93.18838032589319,81.68168922142158,93.89389640714053,87.22538853599136
13,90.74292600868714,79.65050591277712,81.36533681488363,80.9259584724698,95.8698435813101,95.09653769866178,73.01463757563585,81.64653895402847,89.85161565693339,94.87559316076226,92.76657711717593,85.31472042983755,86.94920786361696,92.19412990534535,93.35659946270306,99.33465565291621,94.92078636169626,96.02801978457907,91.59657535966255,87.29066760400713,98.34291596575359,93.54239373320947,93.3490672625474,81.34525094780186,94.62200908885485,71.61615908006729,90.04243139421025,71.61615908006729,89.80893318938462,91.13208968339652,95.18943483391499,92.41507444324488,81.21971427854076,84.93811042205428,86.27633131637751,98.54628536995656,93.27876672776118,80.02460518717517,94.10228727811393,86.92410052976474
14,91.1873258178714,79.79612844911999,81.45572321675161,81.31010068040875,96.10083105275051,95.24969243516031,73.25817871400236,81.98297722764819,90.07507092821814,95.04381229757212,92.86198498581436,85.59843330236762,87.62208441085642,92.57325064651384,93.74827387079766,99.28444098521177,95.22709583469332,96.07823445228351,91.75977302970198,87.28062467046624,98.30023349820483,93.4068141304075,93.8336388058952,82.66087524165809,95.4555725727485,71.97017248738356,91.16975068417484,72.03294082201411,90.55713173818073,91.84513796479952,95.33505737025786,92.20668357227146,81.39044414873585,85.14147982625725,86.61276958999724,98.61156443797233,93.28378819453162,82.11102463029451,94.12739461196615,87.31326420447412
15,90.84084461071079,80.02962665394561,81.40299781566195,80.96110873986291,95.95520851640764,95.26475683547164,74.47839513922017,81.67164628788069,89.84659419016295,94.99861909663812,92.56571844635818,85.72648070501394,87.64217027793819,91.88028823219263,93.29634186145773,99.33465565291621,94.62451982224007,96.00291245072685,92.0033141680685,87.3333500715559,98.32785156544226,93.45702879811193,92.94232845414146,82.22149689924427,94.28306008184991,72.01285495493234,91.13711115016696,71.93000075322001,90.11273192899645,91.97820683421628,94.85299656029527,92.32970950814733,81.59130281955359,85.1465012930277,86.92912199653519,98.573903437194,93.17080519219664,80.95608727309246,94.30816741570213,86.67051645785735
16,90.71781867483492,79.92417585176631,81.68671068819202,81.10422054282056,96.25398578924904,95.13670943282533,73.2180069798388,81.76956488990434,89.9671093926536,95.02372643049034,93.2586808606794,85.60094403575285,87.24547440307313,92.37741344246655,93.43192146425972,99.28946245198222,95.053855231113,96.20879258831505,91.78236963016897,87.30071053754801,98.34291596575359,93.46205026488238,93.50724346581636,82.82156217831229,94.77265309196817,72.05804815586633,90.92620954580833,71.81952848427025,90.56717467172162,91.48861382409802,95.26726756885687,92.5682291797434,80.90587260538804,85.15403349318336,87.04712646564062,98.63416103843933,93.3616209294735,80.50164453036732,93.86627833990309,87.32581787140023
17,91.06681061538075,79.98443345301162,81.61641015340581,81.17201034422155,96.17113158753672,95.34510030379874,74.37294433704085,81.73441462251124,89.95957719249793,95.00364056340857,93.02518265585377,85.85954957443069,88.23721409023575,92.09872203670692,93.45953953149716,99.3672951869241,94.99108689648246,95.75937131236034,91.93050289989706,87.29066760400713,98.33789449898315,93.54239373320947,93.3390243290065,82.38971603605412,94.91576489492581,72.2513746265284,91.79492329709508,72.09821989002988,90.16545733008611,92.31966657460644,95.19445630068543,92.04599663561726,81.24482161239298,85.32978483014888,87.29066760400713,98.71199377338121,93.34153506239173,80.97617314017424,93.97926134223806,86.76090285972532
