,0
0,61.29871778090482
1,54.149777092022
2,52.026912650191626
3,50.769177209477455
4,49.99126941851984
5,49.42038848360723
6,49.043653996885524
7,48.685304700249674
8,48.40495264577078
9,48.222388795001784
10,48.02177642594164
11,47.80638292134043
12,47.60309775507797
13,47.49175997478206
14,47.32926414783877
15,47.20620946036278
16,47.09304134870119
17,46.96213767999368
18,46.91106244018939
19,46.79061739281535
20,46.66827085841649
21,46.58291893395545
22,46.48910546171487
23,46.407964221705235
24,46.34843709541999
25,46.227834285853135
26,46.16633812448905
27,46.0963666092027
28,46.00850422676861
29,45.941473293829674
30,45.87283519981978
31,45.7917788255693
32,45.71428852096305
33,45.64199812294084
34,45.5869252694863
35,45.53022972004888
36,45.46149162454552
37,45.379540339124006
38,45.31750394339453
39,45.25723078717968
40,45.198003575334766
41,45.13541407551379
42,45.053520994989256
43,44.971032926738026
44,44.94366931089916
45,44.85701748107382
46,44.79114332581767
47,44.751461275162235
48,44.67002070297133
49,44.5815992828057
